DrugID	drugname	code	level	l1	l2	l3	l4
DB00071	Insulin pork	A10AB03	alimentary tract and metabolism;drugs used in diabetes;insulins and analogues;insulins and analogues for injection, fast-acting	alimentary tract and metabolism	drugs used in diabetes	insulins and analogues	insulins and analogues for injection, fast-acting
DB00071	Insulin pork	A10AE03	alimentary tract and metabolism;drugs used in diabetes;insulins and analogues;insulins and analogues for injection, long-acting	alimentary tract and metabolism	drugs used in diabetes	insulins and analogues	insulins and analogues for injection, long-acting
DB00071	Insulin pork	A10AD03	alimentary tract and metabolism;drugs used in diabetes;insulins and analogues;insulins and analogues for injection, intermediate- or long-acting combined with fast-acting	alimentary tract and metabolism	drugs used in diabetes	insulins and analogues	insulins and analogues for injection, intermediate- or long-acting combined with fast-acting
DB00072	Trastuzumab	L01XC03	antineoplastic and immunomodulating agents;antineoplastic agents;other antineoplastic agents;monoclonal antibodies	antineoplastic and immunomodulating agents	antineoplastic agents	other antineoplastic agents	monoclonal antibodies
DB00073	Rituximab	L01XC02	antineoplastic and immunomodulating agents;antineoplastic agents;other antineoplastic agents;monoclonal antibodies	antineoplastic and immunomodulating agents	antineoplastic agents	other antineoplastic agents	monoclonal antibodies
DB00074	Basiliximab	L04AC02	antineoplastic and immunomodulating agents;immunosuppressants;immunosuppressants;interleukin inhibitors	antineoplastic and immunomodulating agents	immunosuppressants	immunosuppressants	interleukin inhibitors
DB00075	Muromonab	L04AA02	antineoplastic and immunomodulating agents;immunosuppressants;immunosuppressants;selective immunosuppressants	antineoplastic and immunomodulating agents	immunosuppressants	immunosuppressants	selective immunosuppressants
DB00076	Digoxin Immune Fab (Ovine)	V03AB24	various;all other therapeutic products;all other therapeutic products;antidotes	various	all other therapeutic products	all other therapeutic products	antidotes
DB00078	Ibritumomab tiuxetan	V10XX02	various;therapeutic radiopharmaceuticals;other therapeutic radiopharmaceuticals;various therapeutic radiopharmaceuticals	various	therapeutic radiopharmaceuticals	other therapeutic radiopharmaceuticals	various therapeutic radiopharmaceuticals
DB00080	Daptomycin	J01XX09	antiinfectives for systemic use;antibacterials for systemic use;other antibacterials;other antibacterials	antiinfectives for systemic use	antibacterials for systemic use	other antibacterials	other antibacterials
DB00081	Tositumomab	V10XA53	various;therapeutic radiopharmaceuticals;other therapeutic radiopharmaceuticals;iodine (131i) compounds	various	therapeutic radiopharmaceuticals	other therapeutic radiopharmaceuticals	iodine (131i) compounds
DB00082	Pegvisomant	H01AX01	systemic hormonal preparations, excl. sex hormones and insulins;pituitary and hypothalamic hormones and analogues;anterior pituitary lobe hormones and analogues;other anterior pituitary lobe hormones and analogues	systemic hormonal preparations, excl. sex hormones and insulins	pituitary and hypothalamic hormones and analogues	anterior pituitary lobe hormones and analogues	other anterior pituitary lobe hormones and analogues
DB00083	Botulinum toxin type A	M03AX01	musculo-skeletal system;muscle relaxants;muscle relaxants, peripherally acting agents;other muscle relaxants, peripherally acting agents	musculo-skeletal system	muscle relaxants	muscle relaxants, peripherally acting agents	other muscle relaxants, peripherally acting agents
DB00085	Pancrelipase	A09AA02	alimentary tract and metabolism;digestives, incl. enzymes;digestives, incl. enzymes;enzyme preparations	alimentary tract and metabolism	digestives, incl. enzymes	digestives, incl. enzymes	enzyme preparations
DB00086	Streptokinase	B01AD01	blood and blood forming organs;antithrombotic agents;antithrombotic agents;enzymes	blood and blood forming organs	antithrombotic agents	antithrombotic agents	enzymes
DB00086	Streptokinase	B06AA55	blood and blood forming organs;other hematological agents;other hematological agents;enzymes	blood and blood forming organs	other hematological agents	other hematological agents	enzymes
DB00087	Alemtuzumab	L04AA34	antineoplastic and immunomodulating agents;immunosuppressants;immunosuppressants;selective immunosuppressants	antineoplastic and immunomodulating agents	immunosuppressants	immunosuppressants	selective immunosuppressants
DB00088	Alglucerase	A16AB01	alimentary tract and metabolism;other alimentary tract and metabolism products;other alimentary tract and metabolism products;enzymes	alimentary tract and metabolism	other alimentary tract and metabolism products	other alimentary tract and metabolism products	enzymes
DB00089	Capromab pendetide	V09IB04	various;diagnostic radiopharmaceuticals;tumour detection;indium (111in) compounds	various	diagnostic radiopharmaceuticals	tumour detection	indium (111in) compounds
DB00090	Laronidase	A16AB05	alimentary tract and metabolism;other alimentary tract and metabolism products;other alimentary tract and metabolism products;enzymes	alimentary tract and metabolism	other alimentary tract and metabolism products	other alimentary tract and metabolism products	enzymes
DB00091	Cyclosporine	L04AD01	antineoplastic and immunomodulating agents;immunosuppressants;immunosuppressants;calcineurin inhibitors	antineoplastic and immunomodulating agents	immunosuppressants	immunosuppressants	calcineurin inhibitors
DB00091	Cyclosporine	S01XA18	sensory organs;ophthalmologicals;other ophthalmologicals;other ophthalmologicals	sensory organs	ophthalmologicals	other ophthalmologicals	other ophthalmologicals
DB00092	Alefacept	L04AA15	antineoplastic and immunomodulating agents;immunosuppressants;immunosuppressants;selective immunosuppressants	antineoplastic and immunomodulating agents	immunosuppressants	immunosuppressants	selective immunosuppressants
DB00093	Felypressin	NA	NA	NA	NA	NA	NA
DB00094	Urofollitropin	G03GA04	genito urinary system and sex hormones;sex hormones and modulators of the genital system;gonadotropins and other ovulation stimulants;gonadotropins	genito urinary system and sex hormones	sex hormones and modulators of the genital system	gonadotropins and other ovulation stimulants	gonadotropins
DB00095	Efalizumab	L04AA21	antineoplastic and immunomodulating agents;immunosuppressants;immunosuppressants;selective immunosuppressants	antineoplastic and immunomodulating agents	immunosuppressants	immunosuppressants	selective immunosuppressants
DB00097	Choriogonadotropin alfa	G03GA08	genito urinary system and sex hormones;sex hormones and modulators of the genital system;gonadotropins and other ovulation stimulants;gonadotropins	genito urinary system and sex hormones	sex hormones and modulators of the genital system	gonadotropins and other ovulation stimulants	gonadotropins
DB00098	Antithymocyte immunoglobulin (rabbit)	L04AA04	antineoplastic and immunomodulating agents;immunosuppressants;immunosuppressants;selective immunosuppressants	antineoplastic and immunomodulating agents	immunosuppressants	immunosuppressants	selective immunosuppressants
DB00099	Filgrastim	L03AA02	antineoplastic and immunomodulating agents;immunostimulants;immunostimulants;colony stimulating factors	antineoplastic and immunomodulating agents	immunostimulants	immunostimulants	colony stimulating factors
DB00100	Coagulation Factor IX (Recombinant)	NA	NA	NA	NA	NA	NA
DB00102	Becaplermin	D03AX06	dermatologicals;preparations for treatment of wounds and ulcers;cicatrizants;other cicatrizants	dermatologicals	preparations for treatment of wounds and ulcers	cicatrizants	other cicatrizants
DB00102	Becaplermin	A01AD08	alimentary tract and metabolism;stomatological preparations;stomatological preparations;other agents for local oral treatment	alimentary tract and metabolism	stomatological preparations	stomatological preparations	other agents for local oral treatment
DB00103	Agalsidase beta	A16AB04	alimentary tract and metabolism;other alimentary tract and metabolism products;other alimentary tract and metabolism products;enzymes	alimentary tract and metabolism	other alimentary tract and metabolism products	other alimentary tract and metabolism products	enzymes
DB00104	Octreotide	H01CB02	systemic hormonal preparations, excl. sex hormones and insulins;pituitary and hypothalamic hormones and analogues;hypothalamic hormones;somatostatin and analogues	systemic hormonal preparations, excl. sex hormones and insulins	pituitary and hypothalamic hormones and analogues	hypothalamic hormones	somatostatin and analogues
DB00105	Interferon alfa-2b	L03AB05	antineoplastic and immunomodulating agents;immunostimulants;immunostimulants;interferons	antineoplastic and immunomodulating agents	immunostimulants	immunostimulants	interferons
DB00106	Abarelix	L02BX01	antineoplastic and immunomodulating agents;endocrine therapy;hormone antagonists and related agents;other hormone antagonists and related agents	antineoplastic and immunomodulating agents	endocrine therapy	hormone antagonists and related agents	other hormone antagonists and related agents
DB00107	Oxytocin	G02AC01	genito urinary system and sex hormones;other gynecologicals;uterotonics;ergot alkaloids and oxytocin incl. analogues, in combination	genito urinary system and sex hormones	other gynecologicals	uterotonics	ergot alkaloids and oxytocin incl. analogues, in combination
DB00107	Oxytocin	H01BB02	systemic hormonal preparations, excl. sex hormones and insulins;pituitary and hypothalamic hormones and analogues;posterior pituitary lobe hormones;oxytocin and analogues	systemic hormonal preparations, excl. sex hormones and insulins	pituitary and hypothalamic hormones and analogues	posterior pituitary lobe hormones	oxytocin and analogues
DB00108	Natalizumab	L04AA23	antineoplastic and immunomodulating agents;immunosuppressants;immunosuppressants;selective immunosuppressants	antineoplastic and immunomodulating agents	immunosuppressants	immunosuppressants	selective immunosuppressants
DB00109	Enfuvirtide	J05AX07	antiinfectives for systemic use;antivirals for systemic use;direct acting antivirals;other antivirals	antiinfectives for systemic use	antivirals for systemic use	direct acting antivirals	other antivirals
DB00110	Palivizumab	J06BB16	antiinfectives for systemic use;immune sera and immunoglobulins;immunoglobulins;specific immunoglobulins	antiinfectives for systemic use	immune sera and immunoglobulins	immunoglobulins	specific immunoglobulins
DB00111	Daclizumab	L04AC01	antineoplastic and immunomodulating agents;immunosuppressants;immunosuppressants;interleukin inhibitors	antineoplastic and immunomodulating agents	immunosuppressants	immunosuppressants	interleukin inhibitors
DB00112	Bevacizumab	L01XC07	antineoplastic and immunomodulating agents;antineoplastic agents;other antineoplastic agents;monoclonal antibodies	antineoplastic and immunomodulating agents	antineoplastic agents	other antineoplastic agents	monoclonal antibodies
DB00113	Technetium Tc-99m arcitumomab	V09IA06	various;diagnostic radiopharmaceuticals;tumour detection;technetium (99mtc) compounds	various	diagnostic radiopharmaceuticals	tumour detection	technetium (99mtc) compounds
DB00114	Pyridoxal phosphate	A11HA06	alimentary tract and metabolism;vitamins;other plain vitamin preparations;other plain vitamin preparations	alimentary tract and metabolism	vitamins	other plain vitamin preparations	other plain vitamin preparations
DB00115	Cyanocobalamin	B03BA01	blood and blood forming organs;antianemic preparations;vitamin b12 and folic acid;vitamin b12 (cyanocobalamin and analogues)	blood and blood forming organs	antianemic preparations	vitamin b12 and folic acid	vitamin b12 (cyanocobalamin and analogues)
DB00115	Cyanocobalamin	B03AE01	blood and blood forming organs;antianemic preparations;iron preparations;iron in other combinations	blood and blood forming organs	antianemic preparations	iron preparations	iron in other combinations
DB00115	Cyanocobalamin	B03BA51	blood and blood forming organs;antianemic preparations;vitamin b12 and folic acid;vitamin b12 (cyanocobalamin and analogues)	blood and blood forming organs	antianemic preparations	vitamin b12 and folic acid	vitamin b12 (cyanocobalamin and analogues)
DB00116	Tetrahydrofolic acid	NA	NA	NA	NA	NA	NA
DB00117	Histidine	NA	NA	NA	NA	NA	NA
