ASV	Nor10	Nor11	Nor12	Nor13	Nor14	Nor15	Nor1	Nor2	Nor3	Nor4	Nor5	Nor6	Nor7	Nor8	Nor9	Ros10	Ros11	Ros12	Ros13	Ros14	Ros15	Ros16	Ros17	Ros19	Ros1	Ros21	Ros22	Ros23	Ros26	Ros27	Ros28	Ros29	Ros2	Ros33	Ros35	Ros3	Ros4	Ros5	Ros6	Ros7	Ros8	Ros9	Taxon
ASV13	70	730	151	0	17	0	502	38	513	0	79	10	1184	45	60	469	26	713	44	0	0	0	0	13	0	533	19	0	88	251	565	870	0	0	15	0	0	13	6	2	17	34	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__
ASV14	51	0	24	9	0	0	0	0	0	19	3	4	14	35	33	0	0	4	0	0	6	13	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	9	26	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Xanthomonas
ASV15	34	35	54	24	583	0	7	56	13	28	490	23	81	33	25	1734	11	17	43	0	69	74	0	28	0	153	811	27	64	101	38	0	0	2	3	0	172	45	37	14	25	14	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia; s__marcescens
ASV16	34	0	20	0	0	0	0	0	5	0	0	0	1	7	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus
ASV17	30	0	0	0	0	2	0	4	5	0	0	0	0	0	53	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__lwoffii
ASV18	33	3	6	0	0	0	2	6	3	2988	3684	3133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
ASV19	27	20	12	14	11	0	26	30	19	10	12	30	32	20	32	0	22	5	45	0	0	0	0	75	0	42	0	0	32	26	0	5	0	0	0	0	0	0	7	18	12	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus
ASV20	24	2	0	3	20	0	0	5	3	0	0	0	28	6	2	0	9	28	1	0	2	17	78	106	0	11	12	43	71	20	5	2	0	3	0	0	0	0	10	7	0	45	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae
ASV21	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
ASV22	19	0	0	0	0	0	4	5	0	0	0	0	92	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__
ASV23	29	5	661	0	278	4	7	70	13	0	256	57	23	15	72	174	1	0	1	0	0	53	0	18	13	93	208	128	10	7	15	0	4	28	1149	6	20	24	116	306	14	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri
ASV24	17	5	0	0	0	2	63	5	2	61	0	0	9	1	0	0	10	12	0	0	1	0	32	0	0	50	13	0	35	10	20	0	0	292	17	0	0	0	0	0	4	11	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae; g__Defluvibacter; s__
ASV25	20	2	10	0	0	1	300	18	27	190	0	1	7	8	14	0	14	6	3	0	86	37	101	33	0	152	326	28	40	67	22	0	0	110	2	0	0	0	0	4	60	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas; s__vesicularis
ASV26	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__geniculata
ASV27	14	7	4	3	8	0	7	50	15	0	6	0	34	17	0	17	14	11	32	0	16	14	13	4261	0	6920	617	6394	5328	1067	370	1385	0	80	0	0	0	0	0	0	42	2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Megamonas; s__
ASV28	14	19	0	0	34	0	0	0	3	2	0	0	16	0	2	6	27	6	0	0	70	7	31	37	0	13	3	73	78	55	11	12	0	11	11	0	0	7	0	12	0	75	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__johnsonii
ASV29	14	3	11	3	0	2	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	2	142	13	13	0	10	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
ASV30	16	7	4	9	37	0	4	9	4	0	0	6	48	3	33	84	36	47	86	0	157	17	193	69	0	76	11	140	287	85	12	18	0	27	16	0	0	2	18	46	9	33	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
ASV31	14	0	0	0	115	0	13	0	0	2	0	0	10	0	0	14	0	0	0	0	50	3	0	0	0	37	4	12	0	0	0	0	0	0	0	0	0	0	0	0	17	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Enhydrobacter
ASV32	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	4	0	8	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Vibrio
ASV33	13	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	2	0	4046	7	0	0	0	0	0	2	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
ASV34	20	4	0	0	0	0	34	0	0	597	0	1	0	0	0	0	0	0	0	0	313	0	0	3	0	28	0	0	57	8	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__; s__
ASV35	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	7	0	0	0	27	5	0	0	10	12	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
ASV36	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	40	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__guillouiae
ASV37	11	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	39	0	0	0	0	0	0	0	0	0	0	2	0	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__
ASV38	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales
ASV39	11	0	13	0	0	2	154	4	12	0	0	3	0	4	12	1	4	0	27	0	0	0	0	38	0	15	23	0	101	84	2	0	0	9	0	0	0	17	0	0	28	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae
ASV40	18	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	15	2	0	0	0	0	0	0	0	9	0	0	0	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__
ASV41	11	0	20	7	0	3	175	9	0	0	0	2	0	15	0	0	0	0	131	0	49	0	0	17	0	18	0	3	0	179	0	0	0	44	0	0	0	0	0	0	12	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae
ASV42	17	0	9	0	0	0	0	0	0	0	0	4	5	0	5	30	0	7	0	0	4	0	0	0	0	48	0	42	0	2	0	0	0	0	0	0	0	0	136	5	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__
ASV43	11	9	14	4	0	0	0	0	0	0	0	0	11	6	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Intrasporangiaceae
ASV44	18	0	3	2	0	0	14	0	3	1	3	0	0	6	0	0	0	0	0	0	0	0	0	4	0	275	8	27	0	15	0	0	0	118	2	0	0	0	0	0	43	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
ASV45	10	2	0	0	21	0	0	9	0	0	0	0	0	12	7	25	6	0	0	0	19	15	13	129	0	12	0	103	44	3	12	42	0	0	19	0	0	0	0	0	2	43	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Propionibacteriaceae; g__Propionibacterium; s__granulosum
ASV46	10	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	17	0	37	0	66	16	10	0	0	0	0	0	0	0	0	0	0	142	105	0	0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium; s__faecium
ASV47	10	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia
ASV48	10	0	42	0	0	0	0	8	3	0	0	0	24	10	66	0	0	0	0	0	0	0	0	0	0	18	6	30	38	39	17	0	0	6	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__
ASV49	9	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	43	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	144	0	0	0	0	0	0	27	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas; s__
ASV50	9	0	3	4	5	0	54	4	9	27	2	0	0	3	19	0	0	14	5	0	0	0	13	0	0	25	73	87	0	60	14	0	0	0	0	0	0	0	0	0	39	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales
ASV51	8	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	3	0	0	14	0	0	0	0	50	32	15	0	2	6	0	0	33	4	0	0	0	0	0	8	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__bryophila
ASV52	7	0	0	2	0	341	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	2	126	0	0	11	2	0	122	5	14	0	0	0	5	0	0	0	0	0	2	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas; s__diminuta
ASV53	7	10	0	3	17	0	0	0	3	0	0	0	0	0	0	22	17	0	8	0	11	8	0	8	0	12	3	0	8	0	2	7	0	5	13	0	0	0	0	5	0	19	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__parainfluenzae
ASV54	7	0	0	2	0	2	2	24	0	0	0	13	23	0	10	11	0	11	24	0	29	0	0	62	0	207	40	29	0	0	7	6	0	1	2	0	0	0	12	0	0	3	k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__
ASV55	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	4	0	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
ASV56	6	16	0	0	1493	0	0	0	0	0	0	4	0	0	0	10	0	1	0	0	3	0	12	8	0	0	0	14	0	3	0	0	0	0	0	0	0	6	0	0	0	2	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Brucellaceae; g__Ochrobactrum; s__
ASV57	6	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__
ASV58	6	0	0	4	6	0	0	0	2	0	0	0	10	2	0	0	0	3	0	0	0	0	43	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__
ASV59	5	7	32	36	16	0	0	0	0	10	0	21	0	2	15	0	0	11	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__
ASV60	5	11	0	4	2	0	0	0	0	0	0	0	0	5	0	10	2	2	4	0	11	2	63	34	0	15	0	60	58	22	0	0	0	49	0	0	0	0	0	5	0	25	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
ASV61	5	17	8	0	0	2	4	5	8	14	2	4	9	9	0	0	0	0	76	0	0	0	0	0	0	0	0	0	8	0	0	3	0	0	0	2	0	0	2	4	7	13	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
ASV62	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners
ASV63	10	0	7	0	0	0	100	6	4	30	0	3	7	2	5	0	0	0	0	0	29	0	27	0	0	6	67	103	0	14	0	0	0	19	5	0	0	0	0	0	23	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae
ASV64	8	0	1	0	0	0	0	0	0	2	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	18	1	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__
ASV65	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__melaninogenica
ASV66	5	130	140	5	139	0	1	912	14	55	6	20	141	0	55	4	227	89	87	0	0	61	91	439	0	414	270	1184	38	6797	107	72	0	107	63	0	11	24	0	0	10	104	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__stercorea
ASV67	8	0	5	2	0	0	9	4	0	21	0	4	0	0	8	0	0	0	0	0	0	0	0	0	0	43	16	0	0	7	19	0	0	164	10	0	0	13	0	0	14	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__subflava
ASV68	4	0	3	0	0	13	0	6	0	0	1	0	13	0	3	40	10	16	13	0	7	48	60	5	1406	33	10	19	124	2	0	14	184	2	5	551	1173	16	4089	4276	2	97	k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__MLE1-12; f__; g__; s__
ASV69	3	0	4	4	0	0	0	25	5	0	6	11	5	0	2	0	0	0	0	0	0	0	0	13	0	4	0	2	23	7	0	0	0	0	0	0	0	0	0	0	8	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]
ASV70	3	3	1	0	0	0	18	0	0	4	0	3	4	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	224	12	0	2	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__
ASV71	5	4	0	19	0	0	0	0	0	33	8	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
ASV72	3	0	1191	110	0	0	0	12	8	4	113	4	8	11	2	0	66	0	0	0	0	0	0	0	0	59	13	0	39	12	31	0	0	0	0	0	0	0	12	4	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__
ASV73	2	4	2	0	0	0	4	3	3	3	4	7	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	4	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Anaerococcus; s__
ASV74	4	104	11	2	5	0	13	0	5	5	76	76	13	18	0	27	0	5	18	0	31	0	0	37	0	28	8	15	56	16	0	138	0	12	27	0	0	0	46	82	5	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardiaceae; g__Rhodococcus; s__
ASV75	2	5	0	3	0	10	6	5	5	2	2	3	9	6	4	0	45	0	0	0	0	0	94	0	0	53	0	5	3	6	0	6	0	0	0	0	0	0	2	2	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Finegoldia; s__
ASV76	2	0	2	0	0	0	0	1	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	k__Bacteria; p__[Thermi]; c__Deinococci; o__Thermales; f__Thermaceae; g__Thermus; s__
ASV77	2	9	9	7	0	87	3	12	19	0	0	4	21	0	0	0	22	34	14	0	113	18	138	64	0	28	13	155	243	20	18	56	0	0	38	0	0	0	10	11	0	96	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__johnsonii
ASV78	2	0	0	705	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia
ASV79	2	1	3	0	87	0	0	0	0	10	3	5	13	19	11	49	15	10	48	0	59	50	74	102	0	27	3	61	58	57	7	11	0	26	38	0	0	1	16	10	0	55	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales
ASV80	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2201	0	0	0	0	0	0	0	1053	0	0	4727	2768	11	1919	1100	0	0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Sediminibacterium; s__
ASV81	2	4	3	15	8	0	37	22	4	0	0	20	32	0	34	0	0	53	3	0	13	0	0	2	0	0	21	26	61	0	3	0	0	209	0	0	0	26	0	0	0	25	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
ASV82	2	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Herbaspirillum; s__
ASV83	1	0	0	0	0	0	0	12	0	0	0	0	10	0	4	0	0	0	35	0	0	41	0	0	0	0	1	0	167	15	19	268	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Delftia; s__
ASV84	1	4	1464	1835	31	0	0	10	0	4	41	3	2	0	0	237	0	0	26	0	0	0	0	0	0	0	0	0	414	0	11	45	0	4	7	0	0	0	23	2	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Salinispora; s__tropica
ASV85	0	75	4	0	0	0	0	568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Propionibacteriaceae; g__Propionibacterium; s__acnes
ASV86	0	25	0	0	0	0	6	141	3	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	2	0	0	0	99	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
ASV87	0	23	27	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__
ASV88	0	20	0	289	0	0	0	0	0	113	0	0	0	0	0	32	43	0	0	0	10	0	0	37	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	18	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae; g__Brachybacterium; s__conglomeratum
ASV89	0	19	6	0	0	0	38	32	53	3	0	0	0	1	27	0	0	37	3	0	0	0	0	0	0	0	8	54	0	678	0	54	0	0	0	0	0	0	0	0	6	15	k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__Gemellaceae; g__; s__
