strain	gene	drug	time	value	group
B. catenulatum	DHFR	DMSO	24h	29.01	Sensitive
B. catenulatum	DHFR	DMSO	24h	29.18	Sensitive
B. catenulatum	16S	Methotrexate	24h	16.38	Sensitive
B. catenulatum	16S	Methotrexate	24h	16.43	Sensitive
B. catenulatum	16S	Methotrexate	24h	16.8	Sensitive
B. catenulatum	DHFR	Methotrexate	24h	28.23	Sensitive
B. catenulatum	DHFR	Methotrexate	24h	28.58	Sensitive
B. catenulatum	DHFR	Methotrexate	24h	29.22	Sensitive
E. fergusonii	16S	DMSO	0h	11.35	Resistant
E. fergusonii	16S	DMSO	0h	11.5	Resistant
E. fergusonii	16S	DMSO	0h	11.21	Resistant
E. fergusonii	SLC5A2	DMSO	0h	27.1	Resistant
E. fergusonii	SLC5A2	DMSO	0h	27.41	Resistant
E. fergusonii	SLC5A2	DMSO	0h	26.82	Resistant
E. fergusonii	16S	Canagliflozin	0h	13.3	Resistant
E. fergusonii	16S	Canagliflozin	0h	12.31	Resistant
E. fergusonii	16S	Canagliflozin	0h	12.96	Resistant
E. fergusonii	SLC5A2	Canagliflozin	0h	28.91	Resistant
E. fergusonii	SLC5A2	Canagliflozin	0h	28.13	Resistant
E. fergusonii	SLC5A2	Canagliflozin	0h	28.72	Resistant
C. sporogenes	16S	DMSO	0h	24.45	Resistant
C. sporogenes	16S	DMSO	0h	24.01	Resistant
C. sporogenes	16S	DMSO	0h	23.9	Resistant
C. sporogenes	DHFR	DMSO	0h	24.11	Resistant
C. sporogenes	DHFR	DMSO	0h	24.3	Resistant
C. sporogenes	DHFR	DMSO	0h	25.11	Resistant
C. sporogenes	16S	Methotrexate	0h	24.12	Resistant
C. sporogenes	16S	Methotrexate	0h	24.11	Resistant
C. sporogenes	16S	Methotrexate	0h	24.44	Resistant
C. sporogenes	DHFR	Methotrexate	0h	25.22	Resistant
C. sporogenes	DHFR	Methotrexate	0h	24.56	Resistant
C. sporogenes	DHFR	Methotrexate	0h	24.19	Resistant
B. ovatus	16S	DMSO	0h	20.12	Sensitive
B. ovatus	16S	DMSO	0h	19.99	Sensitive
B. ovatus	16S	DMSO	0h	20.3	Sensitive
B. ovatus	SLC5A2	DMSO	0h	28.21	Sensitive
B. ovatus	SLC5A2	DMSO	0h	28.62	Sensitive
B. ovatus	SLC5A2	DMSO	0h	28.14	Sensitive
B. ovatus	16S	Canagliflozin	0h	22.14	Sensitive
B. ovatus	16S	Canagliflozin	0h	22.79	Sensitive
B. ovatus	16S	Canagliflozin	0h	22.29	Sensitive
B. ovatus	SLC5A2	Canagliflozin	0h	30.71	Sensitive
B. ovatus	SLC5A2	Canagliflozin	0h	30.84	Sensitive
B. ovatus	SLC5A2	Canagliflozin	0h	30.17	Sensitive
B. catenulatum	16S	DMSO	0h	15.79	Sensitive
B. catenulatum	16S	DMSO	0h	16.02	Sensitive
B. catenulatum	16S	DMSO	0h	16.41	Sensitive
B. catenulatum	DHFR	DMSO	0h	25.77	Sensitive
B. catenulatum	DHFR	DMSO	0h	26.7	Sensitive
B. catenulatum	DHFR	DMSO	0h	26.44	Sensitive
B. catenulatum	16S	Methotrexate	0h	16.22	Sensitive
B. catenulatum	16S	Methotrexate	0h	16.02	Sensitive
B. catenulatum	16S	Methotrexate	0h	15.79	Sensitive
B. catenulatum	DHFR	Methotrexate	0h	26.51	Sensitive
B. catenulatum	DHFR	Methotrexate	0h	26.31	Sensitive
B. catenulatum	DHFR	Methotrexate	0h	25.81	Sensitive
